Name,Age,Birth Year,Origin,Height,Weight,Category,Wins,Losses,Special Skills,Weapon of Choice,Patron Wealth,Equipment Quality,Public Favor,Injury History,Mental Resilience,Diet and Nutrition,Tactical Knowledge,Allegiance Network,Battle Experience,Psychological Profile,Health Status,Personal Motivation,Previous Occupation,Training Intensity,Battle Strategy,Social Standing,Crowd Appeal Techniques,Survived
Silanus Musonius,43,40,Greece,148,87,Hoplomachus,10,0,Endurance,Spear,Low,Basic,0.8208549262481607,Low,5.699352660739462,Poor,Advanced,Strong,10,Fearful,Good,Glory,Entertainer,Low,Aggressive,Medium,Humble,True
Lacerius Furius,45,93,Greece,175,75,Provocator,12,6,Tactics,Dagger,Medium,Standard,0.666941051966426,High,0.9982837440975024,Adequate,Advanced,Moderate,18,Stoic,Fair,Freedom,Criminal,Medium,Balanced,Low,Charismatic,False
Pius Licinius,44,44,Gaul,166,85,Secutor,8,3,Agility,Gladius (Sword),Medium,Standard,0.5327068196441646,Low,7.594632859010438,Adequate,Expert,Moderate,11,Stoic,Good,Survival,Unemployed,Medium,Balanced,Medium,Charismatic,True
Cassianus Verecundus,43,88,Rome,181,60,Retiarius,9,5,Endurance,Trident,Low,Basic,0.542776105430563,High,1.065021379457231,Poor,Expert,Moderate,14,Aggressive,Fair,Survival,Criminal,Low,Defensive,Low,Intimidating,False
Papirius Claudius,41,54,Germania,171,102,Secutor,7,1,Speed,Dagger,Low,Basic,0.7292262101600023,High,1.00034774270565,Poor,Advanced,Strong,8,Aggressive,Fair,Glory,Entertainer,Medium,Balanced,High,Charismatic,False
Duronius Cassio,30,20,Germania,177,66,Retiarius,7,1,Novice,Net,Medium,Standard,0.6427529328964653,Low,6.617370032295884,Adequate,Intermediate,Moderate,8,Fearful,Excellent,Freedom,Criminal,Medium,Balanced,Low,Intimidating,True
Festus Pasidienus,30,131,Greece,173,73,Secutor,8,0,Strength,Dagger,High,Superior,0.7810464035204605,Low,5.65832015413802,Excellent,Expert,Strong,8,Fearful,Excellent,Survival,Criminal,Low,Balanced,Low,Charismatic,True
Paulinus Sabucius,18,65,Gaul,160,75,Murmillo,2,0,Novice,Dagger,High,Superior,0.4692260456085311,High,5.441458820629358,Excellent,Intermediate,Strong,2,Fearful,Excellent,Survival,Criminal,Medium,Balanced,Medium,Humble,False
Valentinian Ollius,41,20,Gaul,159,71,Provocator,9,2,Strength,Dagger,Low,Basic,0.9169828871601846,Low,6.647249115135158,Poor,Expert,Strong,11,Calculative,Good,Wealth,Entertainer,Low,Defensive,Medium,Intimidating,True
Secundus Camillus,35,190,Germania,181,79,Secutor,6,3,Novice,Gladius (Sword),High,Superior,0.5667284472913328,Low,4.487647665484983,Excellent,Intermediate,Strong,9,Calculative,Excellent,Glory,Laborer,Low,Balanced,High,Charismatic,False
Eborius Domitian,32,131,Gaul,148,72,Thraex,8,0,Strength,Dagger,Medium,Standard,0.7369913629761521,Low,6.489169511769565,Adequate,Advanced,Strong,8,Fearful,Excellent,Glory,Laborer,Medium,Defensive,Medium,Humble,True
Caelian Castorius,44,101,Gaul,184,83,Secutor,5,0,Novice,Dagger,Low,Basic,0.6513767763778712,Low,3.648701074897849,Poor,Basic,Moderate,5,Calculative,Good,Freedom,Criminal,Low,Balanced,Medium,Intimidating,False
Percennius Cicero,22,120,Germania,179,76,Hoplomachus,3,0,Speed,Dagger,High,Superior,0.5521101691179585,Low,5.499262583639715,Excellent,Advanced,Strong,3,Fearful,Excellent,Wealth,Entertainer,High,Balanced,High,Charismatic,False
Salvian Cantilius,27,44,Thrace,173,90,Murmillo,8,3,Novice,Gladius (Sword),Medium,Standard,0.6012208306255404,Low,6.08181702499098,Adequate,Basic,Moderate,11,Aggressive,Excellent,Survival,Criminal,Medium,Balanced,Low,Intimidating,False
Longinius Drusus,19,89,Numidia,180,108,Secutor,3,0,Novice,Gladius (Sword),Low,Basic,0.5754289985265433,Low,5.868987091249745,Poor,Intermediate,Moderate,3,Fearful,Excellent,Glory,Entertainer,Medium,Balanced,Medium,Humble,False
Marcus Iuventius,38,32,Numidia,183,70,Retiarius,11,1,Strength,Net,High,Superior,0.981504636221173,High,4.5482828485054085,Excellent,Advanced,Strong,12,Stoic,Good,Glory,Entertainer,Medium,Balanced,Medium,Intimidating,True
Cornelius Aelius,33,106,Numidia,163,95,Thraex,9,1,Endurance,Sica (Curved Sword),High,Superior,0.704476909407707,Low,5.08103227798021,Excellent,Advanced,Strong,10,Calculative,Excellent,Vengeance,Criminal,Medium,Balanced,Medium,Flamboyant,True
Cornelius Laronius,19,55,Thrace,194,80,Murmillo,6,2,Strength,Gladius (Sword),High,Superior,0.6525690123213215,High,3.065333971175925,Excellent,Expert,Strong,8,Stoic,Excellent,Glory,Laborer,Medium,Aggressive,Medium,Intimidating,True
Hordeonius Geminius,45,37,Thrace,181,85,Hoplomachus,17,1,Endurance,Spear,Medium,Standard,0.8283218896436806,Low,3.1936217102583786,Adequate,Advanced,Strong,18,Stoic,Good,Vengeance,Laborer,Medium,Balanced,High,Flamboyant,True
Paternus Palpellius,23,28,Germania,176,85,Murmillo,5,1,Agility,Gladius (Sword),Low,Basic,0.7025439813520881,Low,6.52641447225334,Poor,Advanced,Strong,6,Aggressive,Excellent,Survival,Entertainer,High,Aggressive,Medium,Charismatic,False
Octavenus Primitivus,29,49,Germania,160,75,Provocator,9,3,Tactics,Dagger,Medium,Standard,0.744301576939079,High,4.833776375109532,Adequate,Expert,Strong,12,Calculative,Good,Freedom,Laborer,Low,Defensive,High,Charismatic,True
Amulius Gabinius,18,114,Rome,184,94,Murmillo,2,0,Novice,Dagger,Low,Basic,0.4377080225446239,Low,7.921088507467919,Poor,Intermediate,Moderate,2,Stoic,Excellent,Vengeance,Entertainer,Medium,Balanced,Medium,Intimidating,False
Numicius Placidus,26,92,Thrace,184,65,Provocator,5,1,Agility,Gladius (Sword),Medium,Standard,0.6246544905916183,Low,2.808594645120638,Adequate,Advanced,Moderate,6,Fearful,Excellent,Vengeance,Entertainer,Medium,Defensive,Medium,Humble,False
Palpellius Marian,33,52,Numidia,191,79,Provocator,10,3,Novice,Dagger,Medium,Standard,0.7627393713755696,Low,6.821293547493383,Adequate,Intermediate,Strong,13,Fearful,Excellent,Freedom,Laborer,Medium,Balanced,Medium,Charismatic,True
Fundanus Iulius,38,49,Numidia,185,72,Retiarius,4,0,Novice,Trident,Low,Basic,0.6615464170970984,Low,1.4307716904591312,Poor,Intermediate,Moderate,4,Fearful,Good,Survival,Unemployed,Low,Balanced,Medium,Intimidating,False
Servius Marcellus,42,83,Germania,188,96,Murmillo,10,3,Agility,Gladius (Sword),High,Superior,0.7552209095687751,Low,1.0509896978726738,Excellent,Expert,Strong,13,Calculative,Good,Glory,Entertainer,Low,Balanced,Medium,Flamboyant,False
Cicero Maximus,36,41,Rome,163,67,Provocator,10,2,Novice,Gladius (Sword),Medium,Standard,0.7903062815635727,Low,3.252017990321456,Adequate,Intermediate,Strong,12,Calculative,Good,Glory,Criminal,Low,Balanced,High,Charismatic,True
Marcellus Blasius,30,112,Thrace,168,93,Hoplomachus,5,1,Strength,Spear,Low,Basic,0.5777101954371722,Low,5.098639238332212,Poor,Advanced,Moderate,6,Stoic,Excellent,Freedom,Laborer,Low,Defensive,Medium,Humble,False
Justus Duronius,42,145,Numidia,166,59,Retiarius,15,1,Novice,Net,Low,Basic,0.9782164888664192,High,1.6701824004707633,Poor,Intermediate,Strong,16,Calculative,Fair,Wealth,Entertainer,Medium,Aggressive,High,Humble,True
Paconius Egnatius,41,35,Numidia,168,78,Hoplomachus,7,0,Endurance,Spear,Low,Basic,0.7246150524317236,Low,5.218405591482426,Poor,Expert,Strong,7,Stoic,Good,Freedom,Laborer,Low,Aggressive,Medium,Charismatic,True
Herennius Amulius,18,66,Greece,184,91,Provocator,3,0,Speed,Dagger,Medium,Standard,0.6667484345534299,Low,8.518120144594585,Adequate,Expert,Moderate,3,Calculative,Excellent,Survival,Criminal,Low,Balanced,Low,Charismatic,False
Ninnius Statilius,41,15,Rome,193,95,Secutor,11,4,Endurance,Gladius (Sword),Low,Basic,0.7617285570814222,Low,4.052272512727931,Poor,Advanced,Strong,15,Aggressive,Good,Glory,Entertainer,Low,Defensive,High,Humble,True
Domitian Fundanus,35,181,Greece,164,101,Murmillo,9,1,Speed,Dagger,Low,Basic,0.7062943333291851,Low,6.10538424923948,Poor,Advanced,Strong,10,Fearful,Excellent,Vengeance,Unemployed,Medium,Aggressive,High,Charismatic,True
Bruttius Valens,32,23,Rome,190,59,Retiarius,5,1,Agility,Net,High,Superior,0.4961603218548282,Low,5.294028111780711,Excellent,Advanced,Strong,6,Stoic,Excellent,Glory,Laborer,Low,Aggressive,High,Intimidating,False
Cincinnatus Segulius,41,19,Gaul,161,87,Thraex,4,0,Novice,Sica (Curved Sword),High,Superior,0.571376460733833,Low,2.1108843015734595,Excellent,Intermediate,Strong,4,Fearful,Good,Survival,Laborer,Medium,Balanced,High,Intimidating,False
Eutropius Ollius,24,112,Numidia,164,94,Murmillo,5,3,Novice,Dagger,Medium,Standard,0.512379018490763,Low,2.748482043306033,Adequate,Basic,Moderate,8,Aggressive,Excellent,Glory,Criminal,High,Balanced,Medium,Charismatic,False
Gaius Octavius,40,78,Greece,166,71,Secutor,7,0,Endurance,Dagger,Medium,Standard,0.7934355058479645,Low,1.0150101343715907,Adequate,Expert,Strong,7,Aggressive,Good,Freedom,Unemployed,Low,Balanced,Low,Charismatic,False
Germanicus Sedatius,18,118,Numidia,182,80,Thraex,5,0,Tactics,Sica (Curved Sword),Low,Basic,0.7108645688815521,Low,2.7032245664817625,Poor,Expert,Strong,5,Aggressive,Excellent,Wealth,Soldier,Medium,Balanced,Medium,Charismatic,False
Tertius Mucius,40,41,Greece,166,81,Murmillo,9,0,Agility,Gladius (Sword),Low,Basic,0.7493407825912516,Low,4.532641405029117,Poor,Advanced,Strong,9,Stoic,Good,Vengeance,Laborer,Low,Balanced,Medium,Flamboyant,True
Burrienus Pinarus,35,45,Thrace,154,53,Provocator,11,2,Novice,Gladius (Sword),Medium,Standard,0.7236285128443787,High,3.0177807694854377,Adequate,Intermediate,Strong,13,Aggressive,Good,Freedom,Laborer,Low,Aggressive,Medium,Charismatic,True
Sittius Volumnius,30,51,Thrace,168,66,Secutor,7,2,Strength,Gladius (Sword),Low,Basic,0.5908744816919829,Low,4.48802313028327,Poor,Advanced,Moderate,9,Fearful,Excellent,Survival,Entertainer,Medium,Balanced,Medium,Charismatic,False
Numicius Tiberius,23,256,Greece,180,89,Retiarius,10,0,Agility,Trident,Medium,Standard,0.863648162676425,Low,4.125084518076206,Adequate,Expert,Strong,10,Calculative,Excellent,Survival,Soldier,Medium,Defensive,High,Flamboyant,True
Maximian Camillius,19,44,Gaul,180,75,Provocator,1,0,Agility,Dagger,Medium,Standard,0.4916753738181784,Low,1.97757244289062,Adequate,Expert,Moderate,1,Fearful,Excellent,Wealth,Entertainer,High,Aggressive,Low,Humble,False
Cassius Probus,22,31,Thrace,170,59,Thraex,7,2,Novice,Sica (Curved Sword),Medium,Standard,0.6934635293328565,Low,3.239088938889396,Adequate,Intermediate,Moderate,9,Aggressive,Excellent,Survival,Criminal,High,Aggressive,Medium,Charismatic,False
Draco Fannius,30,73,Germania,174,84,Retiarius,6,0,Strength,Trident,Medium,Standard,0.7120726994366128,Low,6.47508322974211,Adequate,Expert,Strong,6,Fearful,Excellent,Glory,Criminal,Medium,Aggressive,High,Intimidating,True
Nasidienus Germanicus,18,119,Rome,204,82,Retiarius,5,1,Novice,Net,High,Superior,0.6027879209136853,Low,6.787301913413999,Excellent,Intermediate,Strong,6,Fearful,Excellent,Wealth,Soldier,Medium,Balanced,Medium,Humble,True
Magnentius Octavius,30,136,Numidia,171,84,Thraex,6,2,Agility,Sica (Curved Sword),High,Superior,0.6551707791698101,Low,2.1453075181387766,Excellent,Expert,Strong,8,Calculative,Excellent,Vengeance,Criminal,Medium,Balanced,Medium,Intimidating,False
Coruncanius Fidius,39,73,Gaul,183,62,Secutor,7,1,Agility,Gladius (Sword),Low,Basic,0.7120148497441577,Low,8.020309336702852,Poor,Expert,Strong,8,Stoic,Good,Glory,Laborer,Medium,Defensive,Low,Intimidating,True
Rabirius Egnatius,26,136,Greece,178,75,Hoplomachus,9,4,Tactics,Dagger,High,Superior,0.7445759988418555,High,1.092898697985512,Excellent,Expert,Strong,13,Stoic,Excellent,Wealth,Laborer,Medium,Balanced,Medium,Charismatic,False
Laronius Petilius,37,42,Rome,166,102,Hoplomachus,2,0,Tactics,Spear,High,Superior,0.448702017079511,Low,5.433752884754556,Excellent,Advanced,Strong,2,Fearful,Excellent,Freedom,Entertainer,Medium,Aggressive,Low,Charismatic,False
Icilius Vibius,40,134,Gaul,178,61,Hoplomachus,17,3,Agility,Spear,Medium,Standard,0.9622738519112054,High,1.2770301318410775,Adequate,Expert,Strong,20,Fearful,Fair,Wealth,Criminal,Medium,Balanced,Medium,Intimidating,True
Gratian Aelius,38,47,Thrace,164,51,Hoplomachus,13,3,Endurance,Spear,Medium,Standard,0.869079768082322,High,3.3424698416494625,Adequate,Expert,Strong,16,Calculative,Fair,Vengeance,Criminal,Medium,Aggressive,High,Flamboyant,False
Geta Flaccus,21,119,Thrace,193,84,Secutor,4,1,Novice,Dagger,High,Superior,0.5950128738793724,Low,6.851519607754671,Excellent,Intermediate,Strong,5,Calculative,Excellent,Freedom,Soldier,Medium,Aggressive,Medium,Humble,True
Nerva Avidius,31,100,Germania,180,79,Murmillo,9,1,Endurance,Dagger,Low,Basic,0.7975771846989774,Low,5.599162386685544,Poor,Advanced,Strong,10,Calculative,Excellent,Freedom,Laborer,Medium,Aggressive,Medium,Charismatic,True
Spurius Diocletian,27,29,Thrace,175,86,Retiarius,7,5,Tactics,Trident,High,Superior,0.4560780870922081,High,3.506351161687251,Excellent,Expert,Strong,12,Aggressive,Excellent,Freedom,Criminal,Medium,Aggressive,Medium,Charismatic,False
Eborius Urbanus,25,92,Gaul,181,72,Retiarius,6,0,Tactics,Trident,Medium,Standard,0.7293727649420845,Low,2.348945396564037,Adequate,Advanced,Strong,6,Stoic,Excellent,Survival,Unemployed,Low,Aggressive,High,Intimidating,True
Sicinius Matinius,43,32,Germania,193,63,Provocator,8,2,Speed,Dagger,Low,Basic,0.6322945640829768,Low,5.650159297066253,Poor,Advanced,Moderate,10,Aggressive,Good,Wealth,Unemployed,Medium,Aggressive,Medium,Intimidating,False
Nero Fundanus,33,46,Rome,179,89,Thraex,9,4,Novice,Sica (Curved Sword),High,Superior,0.6638828563779775,Low,4.124607463137453,Excellent,Intermediate,Strong,13,Stoic,Excellent,Glory,Criminal,Low,Balanced,Medium,Intimidating,True
Nasennius Orbilius,41,185,Germania,160,71,Provocator,7,3,Novice,Gladius (Sword),High,Superior,0.5381820968335228,Low,1.0348345135896464,Excellent,Intermediate,Strong,10,Stoic,Good,Glory,Laborer,Medium,Balanced,Medium,Charismatic,False
Pacilius Pacilius,31,42,Greece,164,74,Secutor,7,2,Novice,Gladius (Sword),Low,Basic,0.6953720264162023,Low,4.87284754598871,Poor,Basic,Moderate,9,Stoic,Excellent,Glory,Unemployed,Low,Balanced,Low,Intimidating,False
Festus Pilus,18,49,Germania,185,92,Thraex,1,0,Speed,Dagger,Medium,Standard,0.5271661153567894,Low,5.613882335186697,Adequate,Advanced,Moderate,1,Stoic,Excellent,Freedom,Soldier,High,Balanced,Medium,Humble,False
Lamponius Maximus,37,68,Rome,191,78,Provocator,10,1,Novice,Dagger,High,Superior,0.9502418188722268,High,2.5139464342404727,Excellent,Intermediate,Strong,11,Stoic,Good,Freedom,Laborer,Medium,Aggressive,Medium,Humble,True
Germanicus Dacian,24,106,Germania,182,84,Secutor,5,1,Speed,Dagger,Medium,Standard,0.6023592690343078,Low,7.984846681083167,Adequate,Advanced,Moderate,6,Calculative,Excellent,Survival,Laborer,Medium,Balanced,Low,Humble,False
Laetorius Rufrius,19,62,Rome,166,96,Murmillo,5,3,Novice,Gladius (Sword),Low,Basic,0.4913270862916611,Low,6.4996752983845125,Poor,Intermediate,Moderate,8,Calculative,Excellent,Survival,Entertainer,Medium,Aggressive,Low,Intimidating,False
Pacilius Placidus,34,139,Numidia,183,48,Provocator,6,2,Novice,Gladius (Sword),Medium,Standard,0.5594141799798966,Low,2.6173537517353984,Adequate,Intermediate,Moderate,8,Calculative,Excellent,Glory,Criminal,Medium,Balanced,Medium,Charismatic,False
Plinius Vitus,29,123,Germania,183,67,Retiarius,8,1,Agility,Net,Medium,Standard,0.6937792114398732,Low,3.241371454521416,Adequate,Advanced,Moderate,9,Aggressive,Excellent,Wealth,Laborer,Medium,Balanced,Medium,Intimidating,True
Maximus Perperna,20,72,Numidia,175,77,Hoplomachus,2,0,Speed,Spear,Low,Basic,0.6236743128703598,Low,6.9021961996116765,Poor,Advanced,Moderate,2,Aggressive,Excellent,Freedom,Soldier,Medium,Aggressive,Medium,Intimidating,False
Novellius Publicius,26,280,Germania,193,88,Provocator,7,2,Novice,Gladius (Sword),High,Superior,0.671864956910369,Low,8.35971482016872,Excellent,Intermediate,Strong,9,Stoic,Excellent,Wealth,Laborer,Low,Balanced,Medium,Humble,True
Varian Diocletian,40,78,Gaul,193,101,Provocator,10,4,Novice,Dagger,High,Superior,0.5520191754654685,High,3.2715383067147807,Excellent,Intermediate,Strong,14,Calculative,Good,Glory,Entertainer,Low,Aggressive,High,Humble,True
Potitius Maxentius,40,57,Rome,200,62,Retiarius,13,5,Novice,Trident,High,Superior,0.8907798294767812,High,1.076625582351051,Excellent,Intermediate,Strong,18,Calculative,Good,Freedom,Unemployed,Medium,Balanced,Medium,Flamboyant,False
Egnatius Norbanus,43,58,Numidia,171,80,Retiarius,5,0,Novice,Net,High,Superior,0.7210432185486872,Low,3.5991146112465766,Excellent,Basic,Strong,5,Stoic,Good,Survival,Criminal,Medium,Balanced,High,Charismatic,True
Maecenas Aulus,33,30,Rome,183,83,Retiarius,6,3,Novice,Net,High,Superior,0.6820018569753649,Low,1.537768348912352,Excellent,Intermediate,Strong,9,Stoic,Excellent,Glory,Criminal,Medium,Aggressive,Medium,Humble,False
Maximian Iulius,22,47,Greece,156,90,Thraex,9,6,Tactics,Dagger,Low,Basic,0.5569558993621746,Low,7.134431720913062,Poor,Advanced,Moderate,15,Fearful,Excellent,Glory,Unemployed,Medium,Balanced,Medium,Humble,True
Cominius Novellius,23,34,Greece,181,87,Murmillo,4,1,Novice,Dagger,Medium,Standard,0.4683525472429046,Low,6.421245866790541,Adequate,Intermediate,Moderate,5,Aggressive,Excellent,Freedom,Soldier,Medium,Aggressive,Low,Humble,False
Atilius Iunius,31,167,Numidia,190,80,Thraex,3,0,Agility,Sica (Curved Sword),Medium,Standard,0.536147628401492,Low,3.8849735253403512,Adequate,Advanced,Moderate,3,Calculative,Excellent,Survival,Laborer,Low,Defensive,Medium,Charismatic,False
Probus Quintus,42,16,Gaul,159,84,Provocator,8,3,Endurance,Dagger,Low,Basic,0.5382196005085391,Low,3.541916784170635,Poor,Advanced,Moderate,11,Aggressive,Good,Survival,Entertainer,Low,Aggressive,Medium,Charismatic,False
Cordius Nonius,31,266,Thrace,181,76,Retiarius,6,1,Agility,Net,High,Superior,0.593485227805323,Low,3.488299171042472,Excellent,Advanced,Strong,7,Stoic,Excellent,Vengeance,Criminal,Low,Aggressive,Low,Humble,False
Marcellus Fulcinia,38,20,Thrace,176,105,Hoplomachus,10,4,Agility,Dagger,High,Superior,0.6965080943457034,High,2.8214095735347984,Excellent,Expert,Strong,14,Fearful,Good,Wealth,Criminal,Medium,Balanced,High,Intimidating,True
Octavius Tiberius,28,97,Germania,187,104,Thraex,3,0,Novice,Sica (Curved Sword),High,Superior,0.5572879118846283,Low,3.814442129482869,Excellent,Intermediate,Strong,3,Fearful,Excellent,Survival,Entertainer,Medium,Balanced,Medium,Intimidating,False
Publius Orestius,32,37,Gaul,184,83,Secutor,11,3,Novice,Dagger,Medium,Standard,0.7711963765734029,Low,3.387773921509853,Adequate,Intermediate,Strong,14,Calculative,Excellent,Survival,Unemployed,Low,Aggressive,Low,Humble,False
Lentulus Pacilius,26,68,Germania,185,67,Thraex,3,1,Novice,Sica (Curved Sword),High,Superior,0.4808124561631874,Low,6.743959131316645,Excellent,Intermediate,Strong,4,Stoic,Excellent,Freedom,Entertainer,Medium,Balanced,Low,Intimidating,False
Aulus Publius,26,49,Greece,187,99,Secutor,8,2,Speed,Gladius (Sword),High,Superior,0.6555678580063683,High,2.8203423415339874,Excellent,Advanced,Strong,10,Fearful,Excellent,Glory,Criminal,Low,Balanced,Low,Charismatic,True
Germanicus Salinator,45,14,Numidia,177,83,Thraex,8,2,Tactics,Sica (Curved Sword),High,Superior,0.6777204022182155,Low,4.6865270713488405,Excellent,Expert,Strong,10,Calculative,Good,Freedom,Laborer,Medium,Balanced,High,Charismatic,False
Lacerius Caelius,43,26,Gaul,177,93,Hoplomachus,11,3,Speed,Spear,High,Superior,0.7783181984624983,Low,3.461035211624444,Excellent,Advanced,Strong,14,Fearful,Good,Freedom,Criminal,Medium,Balanced,Medium,Intimidating,True
Catius Fabrinius,26,178,Thrace,170,101,Hoplomachus,3,1,Speed,Dagger,High,Superior,0.4367346588359762,Low,4.4891719611705,Excellent,Expert,Strong,4,Stoic,Excellent,Survival,Laborer,Medium,Balanced,High,Charismatic,False
Sextius Domitius,21,64,Numidia,177,62,Thraex,8,6,Strength,Dagger,Low,Basic,0.5478358401112516,Low,9.557499692222,Poor,Expert,Moderate,14,Calculative,Excellent,Freedom,Laborer,High,Balanced,Low,Charismatic,True
Verus Octavenus,34,30,Greece,162,109,Secutor,12,1,Novice,Gladius (Sword),High,Superior,0.7945912996485125,Low,4.504859789317973,Excellent,Basic,Strong,13,Fearful,Excellent,Glory,Unemployed,Medium,Aggressive,High,Intimidating,True
Varro Germanicus,24,52,Thrace,172,96,Murmillo,2,0,Speed,Dagger,Medium,Standard,0.6201397183207656,Low,5.870798847606395,Adequate,Advanced,Moderate,2,Stoic,Excellent,Freedom,Criminal,Medium,Balanced,Medium,Humble,False
Aelius Quirinius,27,31,Germania,172,86,Hoplomachus,7,1,Strength,Dagger,Low,Basic,0.7153124894298925,Low,5.172905413928315,Poor,Advanced,Strong,8,Aggressive,Excellent,Survival,Criminal,Medium,Defensive,Medium,Humble,True
Vespasian Verecundus,42,143,Thrace,150,70,Provocator,15,1,Strength,Dagger,High,Superior,0.8948835719752379,High,1.0630462142631063,Excellent,Expert,Strong,16,Stoic,Fair,Survival,Laborer,Low,Balanced,Medium,Flamboyant,True
Manilius Icilius,18,64,Germania,184,80,Murmillo,6,0,Novice,Dagger,Low,Basic,0.6609755697100903,Low,8.97977223242895,Poor,Intermediate,Moderate,6,Calculative,Excellent,Glory,Criminal,Low,Balanced,Medium,Charismatic,True
Bonifacius Geta,41,26,Numidia,182,82,Murmillo,12,3,Endurance,Gladius (Sword),Low,Basic,0.958022081253014,High,4.838377227502504,Poor,Expert,Strong,15,Calculative,Fair,Vengeance,Entertainer,Low,Balanced,Medium,Charismatic,False
Ogulnius Papinius,41,45,Thrace,160,73,Secutor,13,0,Strength,Dagger,Low,Basic,0.8490022610281245,Low,6.377717470206419,Poor,Expert,Strong,13,Aggressive,Good,Freedom,Entertainer,Medium,Balanced,High,Flamboyant,True
Galerius Rebilus,43,49,Gaul,166,76,Provocator,10,3,Novice,Gladius (Sword),Low,Basic,0.7768755497461028,Low,2.297136583589807,Poor,Basic,Strong,13,Fearful,Good,Glory,Unemployed,Medium,Aggressive,Medium,Flamboyant,False
Domitius Rufinus,45,57,Greece,185,87,Murmillo,16,1,Tactics,Dagger,High,Superior,0.996861462562451,High,1.0388830415506385,Excellent,Expert,Strong,17,Fearful,Fair,Freedom,Criminal,Low,Aggressive,Medium,Flamboyant,True
Matinius Sentius,35,41,Numidia,193,91,Retiarius,10,3,Speed,Net,Low,Basic,0.7303613538878742,Low,4.499951750442503,Poor,Advanced,Strong,13,Aggressive,Excellent,Survival,Entertainer,Medium,Aggressive,Low,Charismatic,True
Galerius Seccius,43,99,Numidia,175,109,Provocator,11,3,Novice,Gladius (Sword),Low,Basic,0.7575101705501355,Low,4.944997850374922,Poor,Basic,Strong,14,Stoic,Good,Vengeance,Criminal,Low,Balanced,Low,Intimidating,True
Probus Marian,25,110,Gaul,171,77,Thraex,8,2,Novice,Dagger,Low,Basic,0.7941516729687398,Low,9.535803904181218,Poor,Intermediate,Strong,10,Calculative,Excellent,Vengeance,Laborer,Medium,Balanced,High,Intimidating,True
Rufinus Blossius,35,328,Rome,174,119,Murmillo,3,0,Agility,Gladius (Sword),High,Superior,0.48294836542377,Low,2.077171503762127,Excellent,Advanced,Strong,3,Fearful,Excellent,Vengeance,Entertainer,Medium,Defensive,Medium,Intimidating,False
Novellius Flavius,44,68,Gaul,176,66,Hoplomachus,11,6,Novice,Spear,High,Superior,0.6476736181533063,High,0.9729140861605612,Excellent,Basic,Strong,17,Stoic,Fair,Vengeance,Unemployed,Medium,Aggressive,High,Humble,False
Mamilius Fabianus,40,138,Greece,175,87,Retiarius,6,1,Novice,Net,High,Superior,0.6007937870041508,Low,1.9807958149384064,Excellent,Intermediate,Strong,7,Aggressive,Excellent,Wealth,Unemployed,Medium,Aggressive,Medium,Charismatic,False
Decimus Seneca,38,32,Gaul,185,74,Provocator,13,6,Endurance,Gladius (Sword),Low,Basic,0.7384897008404188,High,5.869918091828398,Poor,Expert,Strong,19,Fearful,Fair,Vengeance,Laborer,Medium,Aggressive,Medium,Intimidating,True
Rufrius Amulius,24,54,Gaul,178,77,Hoplomachus,1,0,Endurance,Dagger,High,Superior,0.4234498312494356,Low,10.624341607129267,Excellent,Expert,Strong,1,Fearful,Excellent,Vengeance,Criminal,High,Defensive,Medium,Intimidating,False
Nasidius Postumius,21,37,Thrace,185,94,Provocator,2,0,Agility,Dagger,High,Superior,0.4371246962149411,Low,6.739343768549565,Excellent,Expert,Strong,2,Stoic,Excellent,Wealth,Soldier,High,Aggressive,Medium,Humble,False
Petilius Cominius,29,69,Germania,178,57,Thraex,9,1,Novice,Sica (Curved Sword),High,Superior,0.856560397954098,Low,3.9261286974828367,Excellent,Intermediate,Strong,10,Fearful,Excellent,Glory,Criminal,Medium,Balanced,Medium,Flamboyant,True
Baebius Hilarianus,38,77,Numidia,173,104,Secutor,15,5,Novice,Dagger,High,Superior,0.843503184760984,Low,7.004942843486756,Excellent,Basic,Strong,20,Fearful,Excellent,Freedom,Entertainer,Low,Aggressive,High,Humble,True
Mamilius Priscus,40,152,Germania,160,94,Murmillo,12,2,Endurance,Dagger,Low,Basic,0.9495357178212898,High,2.712250122688004,Poor,Advanced,Strong,14,Fearful,Fair,Freedom,Criminal,Medium,Aggressive,High,Intimidating,True
Bruttius Iulius,29,26,Numidia,175,69,Hoplomachus,9,2,Novice,Dagger,Medium,Standard,0.8202767162818081,Low,4.426540143751177,Adequate,Intermediate,Strong,11,Fearful,Excellent,Glory,Entertainer,Medium,Balanced,Medium,Intimidating,True
Marius Maxentius,37,56,Thrace,175,57,Thraex,7,2,Endurance,Sica (Curved Sword),Low,Basic,0.6521466079955692,Low,3.98852202082056,Poor,Advanced,Moderate,9,Calculative,Good,Wealth,Laborer,Low,Aggressive,Low,Humble,False
Laetorius Maecenas,36,75,Germania,165,73,Provocator,10,2,Novice,Gladius (Sword),High,Superior,0.7550512601386887,Low,4.812545180238802,Excellent,Intermediate,Strong,12,Fearful,Excellent,Glory,Laborer,Medium,Balanced,High,Charismatic,True
